iter	Passed	Remaining
437	2222	314
438	2227	309
439	2231	304
440	2236	299
441	2241	294
442	2246	289
443	2251	283
444	2255	278
445	2260	273
446	2264	268
447	2269	263
448	2274	258
449	2278	253
450	2283	248
451	2288	243
452	2293	237
453	2298	232
454	2302	227
455	2307	222
456	2312	217
457	2316	212
458	2321	207
459	2326	202
460	2331	197
461	2335	192
462	2340	187
463	2345	181
464	2350	176
465	2355	171
466	2359	166
467	2364	161
468	2369	156
469	2374	151
470	2379	146
471	2384	141
472	2389	136
473	2394	131
474	2399	126
475	2403	121
476	2408	116
477	2413	111
478	2417	106
479	2422	100
480	2427	95
481	2432	90
482	2436	85
483	2441	80
484	2446	75
485	2450	70
486	2455	65
487	2460	60
488	2465	55
489	2469	50
490	2474	45
491	2479	40
492	2484	35
493	2489	30
494	2493	25
495	2498	20
496	2503	15
497	2508	10
498	2513	5
499	2518	0
